Date,Open,High,Low,Close,Adj Close,Volume,Entity
3/18/2020,725,760,675,690,663.862915,85489000,ADRO
3/19/2020,670,670,645,645,620.567505,57290600,ADRO
3/20/2020,645,800,610,745,716.779541,139182200,ADRO
3/23/2020,725,835,695,775,745.643127,111577400,ADRO
3/24/2020,810,900,780,850,817.802124,82445200,ADRO
3/26/2020,885,1010,870,965,928.445984,120540900,ADRO
3/27/2020,990,1050,920,990,952.498962,76999800,ADRO
3/30/2020,970,970,925,925,889.961182,28451400,ADRO
3/31/2020,925,1020,925,990,952.498962,83005000,ADRO
4/1/2020,995,1030,940,1020,981.362549,56063700,ADRO
4/2/2020,980,1055,970,1040,1000.60498,29924200,ADRO
4/3/2020,1055,1100,1040,1100,1058.332153,43071600,ADRO
4/6/2020,1110,1150,1080,1150,1106.438232,41495700,ADRO
4/7/2020,1190,1200,1075,1140,1096.817017,52492500,ADRO
4/8/2020,1150,1150,1065,1065,1024.657959,44442400,ADRO
4/9/2020,1015,1080,1000,1040,1000.60498,31567000,ADRO
4/13/2020,1050,1075,1020,1040,1000.60498,13653600,ADRO
4/14/2020,1040,1080,1040,1080,1039.089844,24122100,ADRO
4/15/2020,1080,1100,1010,1045,1005.415588,29124400,ADRO
4/16/2020,1035,1035,975,975,938.0672,33908100,ADRO
4/17/2020,1000,1050,990,1035,995.794373,36048300,ADRO
4/20/2020,1030,1045,980,985,947.688354,31892700,ADRO
4/21/2020,970,970,920,930,894.77179,45011700,ADRO
4/22/2020,930,930,870,885,851.476379,64670900,ADRO
4/23/2020,900,925,895,905,870.71875,50027600,ADRO
4/24/2020,910,985,870,875,841.855164,98736600,ADRO
4/27/2020,900,945,885,900,865.908142,97943800,ADRO
4/28/2020,910,915,875,890,856.286926,47890200,ADRO
4/29/2020,895,905,880,885,851.476379,43090800,ADRO
4/30/2020,895,920,890,920,885.150574,82626500,ADRO
5/4/2020,920,920,870,890,856.286926,68085900,ADRO
5/5/2020,905,925,895,905,870.71875,51891500,ADRO
5/6/2020,920,965,900,950,914.01416,105354100,ADRO
5/8/2020,955,1030,955,1025,986.173157,144477800,ADRO
5/11/2020,1040,1060,1025,1030,990.983765,62095700,ADRO
5/12/2020,1040,1060,1000,1005,966.930786,49628600,ADRO
5/13/2020,1005,1040,970,1000,962.120178,43999100,ADRO
5/14/2020,1025,1025,930,945,909.203552,89411900,ADRO
5/15/2020,955,970,910,925,889.961182,38978300,ADRO
5/18/2020,935,1020,930,1020,981.362549,76684300,ADRO
5/19/2020,1035,1065,990,1005,966.930786,85706200,ADRO
5/20/2020,1015,1020,970,980,942.877747,41027400,ADRO
5/26/2020,1000,1020,975,1000,962.120178,49777400,ADRO
5/27/2020,1020,1020,990,1000,962.120178,47426900,ADRO
5/28/2020,1005,1075,1000,1030,990.983765,137778200,ADRO
5/29/2020,1015,1100,1015,1100,1058.332153,139275700,ADRO
6/2/2020,1100,1185,1095,1145,1101.627563,123823700,ADRO
6/3/2020,1155,1180,1150,1165,1120.869995,89675400,ADRO
6/4/2020,1135,1150,1105,1120,1120,100659200,ADRO
6/5/2020,1130,1130,1085,1100,1100,73108200,ADRO
6/8/2020,1110,1175,1110,1160,1160,88605200,ADRO
6/9/2020,1165,1240,1160,1180,1180,117226600,ADRO
6/10/2020,1175,1180,1100,1100,1100,65467500,ADRO
6/11/2020,1100,1110,1055,1070,1070,31930900,ADRO
6/12/2020,1060,1070,1010,1060,1060,49986300,ADRO
6/15/2020,1070,1085,1010,1020,1020,35356800,ADRO
6/16/2020,1040,1085,1040,1075,1075,48677100,ADRO
6/17/2020,1085,1095,1055,1070,1070,38939600,ADRO
6/18/2020,1065,1075,1030,1030,1030,59061200,ADRO
6/19/2020,1040,1060,1035,1040,1040,70199400,ADRO
6/22/2020,1050,1055,1020,1030,1030,38485700,ADRO
6/23/2020,1050,1050,990,1005,1005,80075000,ADRO
6/24/2020,1015,1050,1010,1045,1045,80781000,ADRO
6/25/2020,1035,1035,1005,1005,1005,58913100,ADRO
6/26/2020,1025,1025,1010,1015,1015,40144900,ADRO
6/29/2020,1015,1025,1000,1005,1005,53482300,ADRO
6/30/2020,1020,1020,990,995,995,88016000,ADRO
7/1/2020,995,1045,990,1045,1045,98514700,ADRO
7/2/2020,1055,1080,1045,1050,1050,170254500,ADRO
7/3/2020,1060,1080,1035,1040,1040,55575100,ADRO
7/6/2020,1050,1065,1035,1065,1065,42400100,ADRO
7/7/2020,1080,1085,1050,1050,1050,94523900,ADRO
7/8/2020,1050,1075,1050,1065,1065,60115300,ADRO
7/9/2020,1065,1125,1060,1095,1095,138899500,ADRO
7/10/2020,1095,1110,1080,1085,1085,70076300,ADRO
7/13/2020,1085,1160,1080,1155,1155,134592000,ADRO
7/14/2020,1145,1170,1125,1155,1155,127484300,ADRO
7/15/2020,1170,1180,1125,1130,1130,60120300,ADRO
7/16/2020,1135,1150,1105,1110,1110,62091100,ADRO
7/17/2020,1115,1160,1110,1155,1155,93909100,ADRO
7/20/2020,1155,1165,1130,1130,1130,46512900,ADRO
7/21/2020,1130,1145,1115,1135,1135,52362800,ADRO
